,,,G-CSF,G-CSF,G-CSF,G-CSF,Eotaxin,Eotaxin,Eotaxin,Eotaxin,GM-CSF,GM-CSF,GM-CSF,GM-CSF,IL-1a,IL-1a,IL-1a,IL-1a,IL4,IL4,IL4,IL4,IL1b,IL1b,IL1b,IL1b,IL2,IL2,IL2,IL2,IL6,IL6,IL6,IL6,IL-13,IL-13,IL-13,IL-13,IL10,IL10,IL10,IL10,IL12p75,IL12p75,IL12p75,IL12p75,EGF,EGF,EGF,EGF,Leptin,Leptin,Leptin,Leptin,MIP-1a,MIP-1a,MIP-1a,MIP-1a,IFNg,IFNg,IFNg,IFNg,IL5,IL5,IL5,IL5,IL17a,IL17a,IL17a,IL17a,IL18,IL18,IL18,IL18,MCP1,MCP1,MCP1,MCP1,IP10,IP10,IP10,IP10,GRO/KC,GRO/KC,GRO/KC,GRO/KC,VEGF,VEGF,VEGF,VEGF,Fraktalkine,Fraktalkine,Fraktalkine,Fraktalkine,LIX,LIX,LIX,LIX,MIP2,MIP2,MIP2,MIP2,TNFa,TNFa,TNFa,TNFa,RANTES,RANTES,RANTES,RANTES
,,,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14
"('№', '0')","('группа', '0')","('шифр крысы', '0')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Шов NaCl,115,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,5,5,6,6,5,4,5,5,1,1,1,1,1,1,1,1,5,5,5,5,4,4,4,4,6,6,6,7,7,6,6,6,5,5,5,5,1,1,1,1,1,1,1,5,1,1,1,4,6,5,6,6,5,5,5,5,6,6,6,6,1,1,1,1,5,5,5,5,5,5,5,5,5,5,6,6,1,1,1,5,1,1,1,4,7,7,7,7
2,Шов NaCl,116,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,5,1,1,1,1,6,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,6,5,5,5,4,4,4,4,6,5,5,6,7,6,6,6,5,5,5,5,1,1,1,1,5,5,5,5,1,1,1,1,5,5,5,5,5,6,6,5,6,6,6,6,4,1,1,1,5,5,5,5,5,5,5,5,5,5,6,5,5,5,1,1,1,4,4,4,7,6,7,6
3,Шов NaCl,118,3,1,1,1,2,1,1,1,1,3,1,1,6,5,1,1,3,3,1,1,5,5,4,1,1,4,1,1,4,1,1,1,4,3,1,1,4,5,1,1,4,4,1,1,7,6,4,4,6,6,6,2,3,5,4,1,4,3,1,1,3,5,2,1,3,3,1,1,5,5,4,1,4,5,4,1,5,6,5,2,3,3,1,1,3,5,3,1,3,5,3,1,5,5,5,3,2,4,1,1,1,4,1,1,6,7,7,3
4,Шов NaCl,119,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,6,4,4,1,6,4,5,1,2,2,2,1,1,1,1,1,3,3,1,1,1,2,1,1,2,3,4,1,4,4,4,1,4,4,4,1,1,1,1,1,1,1,2,1,2,2,3,1,4,4,4,1,1,1,1,1,2,3,1,1,6,6,6,1
6,Шов VF,120,1,4,1,1,1,3,1,1,1,5,1,1,5,5,1,5,1,4,1,1,5,5,5,6,1,3,1,1,1,4,1,1,1,5,1,1,3,4,3,4,4,5,4,4,6,6,6,7,7,6,6,7,3,3,3,3,3,4,1,4,2,4,3,3,1,4,1,1,5,4,5,6,4,5,4,4,5,5,5,6,1,4,1,3,3,3,3,4,3,4,3,3,5,4,5,4,1,3,1,1,1,4,1,2,6,5,5,6
7,Шов VF,121,1,4,1,1,1,3,1,1,1,5,1,1,1,5,1,5,1,4,1,1,4,5,3,5,1,4,1,1,1,4,1,1,1,5,1,1,1,4,1,3,1,5,1,1,5,7,5,7,6,7,6,7,3,3,3,3,1,4,1,2,1,4,3,2,1,4,2,1,3,5,4,6,3,5,4,4,5,5,5,5,1,4,1,1,2,4,2,3,2,4,2,3,4,5,4,5,1,3,1,1,1,5,3,1,7,6,6,7
8,Шов VF,122,3,1,1,1,2,1,1,1,4,1,1,1,4,3,4,4,4,1,1,1,5,4,5,4,3,2,1,1,4,1,1,1,4,1,1,1,3,1,2,1,5,1,3,4,6,6,6,6,6,6,6,6,3,3,4,2,3,1,1,1,4,3,3,3,3,2,1,1,5,4,5,4,4,4,4,4,5,5,5,5,3,1,1,1,3,3,3,2,3,3,3,2,4,4,4,4,3,1,3,1,4,3,2,2,6,7,6,5
9,Шов VF,123,1,3,1,1,1,2,1,1,1,4,1,1,4,5,3,5,1,4,1,1,5,6,4,4,2,3,2,1,1,4,1,1,3,4,3,1,3,3,3,2,4,5,4,1,6,7,6,6,6,7,6,7,3,3,3,2,3,4,1,1,3,4,3,2,3,3,1,1,4,6,4,4,4,4,4,4,5,5,5,5,2,3,2,1,3,4,2,2,3,4,3,3,5,5,5,5,1,3,1,1,2,4,3,1,7,6,6,6
12,Шов НВГ,130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,6,5,6,6,6,5,5,6,1,2,3,3,1,1,1,1,3,1,2,2,1,1,1,1,3,4,4,4,4,4,4,4,4,4,5,5,1,1,1,1,1,1,1,2,2,1,2,2,4,4,4,4,1,1,1,1,1,1,1,1,6,5,6,6
13,Шов НВГ,131,1,1,1,1,2,1,1,2,3,1,1,1,4,1,1,4,3,1,1,3,4,1,3,5,2,1,1,1,3,1,1,4,4,1,1,3,2,1,1,2,4,2,3,4,5,4,4,6,6,5,5,6,3,1,2,3,1,1,1,4,4,1,1,3,3,1,1,3,3,3,3,5,4,4,4,4,5,5,5,5,3,1,1,1,2,1,1,3,3,2,2,3,4,4,4,4,2,1,1,1,4,1,1,3,6,6,6,6
14,Шов НВГ,132,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,4,4,5,1,2,2,2,1,1,1,1,1,1,1,1,1,1,3,4,1,4,4,4,6,4,3,4,6,6,5,6,3,3,3,3,1,1,1,1,2,3,3,3,1,1,1,2,5,4,4,4,4,4,5,4,5,5,5,5,1,1,1,1,2,2,2,2,2,2,2,2,4,4,5,4,1,1,1,1,1,3,3,3,6,6,6,6
15,Шов НВГ,133,1,1,1,5,1,1,1,4,1,1,1,5,4,1,4,5,1,1,1,5,4,4,4,6,5,4,4,6,1,1,1,5,1,2,1,5,1,1,1,5,1,3,1,6,6,6,6,7,6,5,5,7,4,3,4,5,1,1,1,5,1,3,1,4,1,1,1,4,5,5,5,6,4,4,5,5,5,5,5,6,1,1,1,4,5,4,4,5,5,4,4,5,4,4,4,5,1,1,1,4,1,3,1,5,6,6,5,6
22,Два шва VF,191,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,1,5,5,5,4,4,4,5,1,1,1,1,1,1,1,1,1,5,5,5,3,4,1,4,1,6,6,7,6,7,7,7,6,5,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,5,5,5,4,6,6,6,5,1,5,5,1,5,5,5,3,5,5,5,3,5,5,5,5,1,5,1,1,4,1,4,1,6,7,7,6
23,Два шва VF,192,1,1,1,1,1,3,1,1,1,1,1,1,1,5,5,3,1,5,1,1,5,5,5,5,5,5,6,4,1,5,1,1,1,1,1,1,5,5,5,3,4,5,4,1,6,6,6,6,7,7,6,7,5,5,5,3,1,4,1,1,5,5,5,1,1,5,4,1,5,5,6,4,5,5,5,4,6,6,6,6,1,5,1,1,5,5,6,4,5,6,6,5,5,6,5,5,1,4,1,1,1,5,4,1,7,6,7,6
24,Два шва VF,193,1,1,1,1,1,1,3,1,1,1,1,1,5,5,5,4,1,1,1,1,5,6,6,5,4,5,5,1,1,1,1,1,1,1,1,1,5,5,5,2,4,4,4,1,6,6,7,6,6,7,6,6,5,5,5,3,1,1,1,1,5,5,5,1,1,4,1,1,5,5,6,5,5,5,5,3,6,6,6,5,1,1,1,1,5,5,5,3,5,5,5,3,5,5,6,5,1,1,5,1,4,5,1,1,7,7,7,6
25,Два шва VF,194,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,1,1,5,6,6,5,4,6,6,1,1,1,1,1,1,1,1,3,1,3,2,1,1,1,1,3,1,4,4,4,4,4,1,5,4,5,5,1,1,1,1,2,1,2,2,2,2,2,2,4,4,4,4,1,1,1,1,3,1,2,1,6,6,6,6
26,Два шва VF,195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,1,4,4,5,5,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,4,1,1,1,4,5,7,7,6,6,7,7,2,3,3,3,1,1,1,1,3,2,1,1,1,1,3,1,3,3,5,7,4,4,4,4,5,5,6,5,1,1,2,1,2,3,3,3,3,2,3,3,4,4,5,5,1,1,1,1,3,1,1,1,6,6,7,6
